model,problem_id,category,paths,condition,scorer,run,reframing_score,correctness,frame_diversity,assumption_surfacing,solution_novelty,premise_questioning
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,self,0,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,self,1,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,self,2,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,self,3,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,self,4,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,claude,0,1.75,3,2,2,2,1
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,claude,1,1.75,2,2,2,2,1
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,claude,2,2.75,3,4,2,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,claude,3,1.75,3,2,2,2,1
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,claude,4,2.5,2,3,2,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,openai,0,3.0,4,4,3,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,openai,1,3.0,4,4,3,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,openai,2,4.0,4,5,4,4,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,openai,3,3.0,4,4,3,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,vanilla,openai,4,3.0,4,4,3,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,self,0,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,self,1,2.75,3,3,4,2,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,self,2,2.75,4,3,4,2,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,self,3,3.25,4,3,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,self,4,2.75,4,3,4,2,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,claude,0,3.0,4,3,4,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,claude,1,2.25,4,2,3,2,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,claude,2,2.25,3,2,3,2,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,claude,3,2.25,4,2,3,2,2
